run,group,config,replicate,step,density_pct,changed_elements,total_elements,layers
large-fft-a,large,fullft,a,1,12.856,1053008423,8190735360,348
large-fft-a,large,fullft,a,2,8.945,732643590,8190735360,342
large-fft-a,large,fullft,a,3,7.386,604974239,8190735360,335
large-fft-a,large,fullft,a,4,6.354,520428608,8190735360,334
large-fft-a,large,fullft,a,5,5.743,470392585,8190735360,331
large-fft-a,large,fullft,a,6,5.36,439027819,8190735360,330
large-fft-a,large,fullft,a,7,4.889,400407765,8190735360,326
large-fft-a,large,fullft,a,8,4.566,373997681,8190735360,325
large-fft-a,large,fullft,a,9,4.251,348192177,8190735360,325
large-fft-a,large,fullft,a,10,4.021,329378153,8190735360,323
large-fft-a,large,fullft,a,11,3.871,317036848,8190735360,323
large-fft-a,large,fullft,a,12,3.884,318094872,8190735360,318
large-fft-a,large,fullft,a,13,3.752,307276913,8190735360,319
large-fft-a,large,fullft,a,14,3.717,304484356,8190735360,313
large-fft-a,large,fullft,a,15,3.733,305752328,8190735360,316
large-fft-a,large,fullft,a,16,3.496,286324838,8190735360,316
large-fft-a,large,fullft,a,17,3.318,271774912,8190735360,313
large-fft-a,large,fullft,a,18,3.338,273428531,8190735360,315
large-fft-a,large,fullft,a,19,3.211,263020031,8190735360,316
large-fft-a,large,fullft,a,20,3.212,263065203,8190735360,315
large-fft-a,large,fullft,a,21,3.012,246672052,8190735360,314
large-fft-a,large,fullft,a,22,2.895,237097842,8190735360,315
large-fft-a,large,fullft,a,23,2.715,222376699,8190735360,311
large-fft-a,large,fullft,a,24,2.55,208842300,8190735360,311
large-fft-a,large,fullft,a,25,2.403,196792220,8190735360,311
large-fft-a,large,fullft,a,26,2.262,185271253,8190735360,311
large-fft-a,large,fullft,a,27,2.131,174526100,8190735360,311
large-fft-a,large,fullft,a,28,2.008,164434184,8190735360,311
large-fft-a,large,fullft,a,29,1.944,159228474,8190735360,309
large-fft-a,large,fullft,a,30,2.132,174604460,8190735360,312
large-fft-a,large,fullft,a,31,2.01,164600092,8190735360,308
large-fft-a,large,fullft,a,32,1.889,154727846,8190735360,308
large-fft-a,large,fullft,a,33,1.775,145380685,8190735360,306
large-fft-a,large,fullft,a,34,1.668,136633404,8190735360,306
large-fft-a,large,fullft,a,35,2.436,199557214,8190735360,313
large-fft-a,large,fullft,a,36,2.291,187645225,8190735360,312
large-fft-a,large,fullft,a,37,2.158,176785678,8190735360,311
large-fft-a,large,fullft,a,38,2.477,202890090,8190735360,315
large-fft-a,large,fullft,a,39,2.332,191035498,8190735360,313
large-fft-a,large,fullft,a,40,2.198,180042759,8190735360,313
large-fft-b,large,fullft,b,1,12.888,1055653395,8190735360,348
large-fft-b,large,fullft,b,2,8.893,728368437,8190735360,340
large-fft-b,large,fullft,b,3,6.94,568458102,8190735360,333
large-fft-b,large,fullft,b,4,6.088,498631024,8190735360,333
large-fft-b,large,fullft,b,5,5.441,445684736,8190735360,327
large-fft-b,large,fullft,b,6,5.145,421413946,8190735360,325
large-fft-b,large,fullft,b,7,4.833,395847932,8190735360,323
large-fft-b,large,fullft,b,8,4.631,379275301,8190735360,322
large-fft-b,large,fullft,b,9,4.31,352982152,8190735360,317
large-fft-b,large,fullft,b,10,4.175,341935689,8190735360,320
large-fft-b,large,fullft,b,11,4.028,329898460,8190735360,320
large-fft-b,large,fullft,b,12,3.897,319167618,8190735360,319
large-fft-b,large,fullft,b,13,3.741,306404871,8190735360,318
large-fft-b,large,fullft,b,14,3.568,292282720,8190735360,319
large-fft-b,large,fullft,b,15,3.455,282988506,8190735360,317
large-fft-b,large,fullft,b,16,3.33,272739419,8190735360,319
large-fft-b,large,fullft,b,17,3.252,266367423,8190735360,319
large-fft-b,large,fullft,b,18,3.326,272401661,8190735360,319
large-fft-b,large,fullft,b,19,3.204,262430182,8190735360,317
large-fft-b,large,fullft,b,20,3.157,258563409,8190735360,317
large-fft-b,large,fullft,b,21,3.139,257095250,8190735360,314
large-fft-b,large,fullft,b,22,2.95,241630732,8190735360,313
large-fft-b,large,fullft,b,23,3.073,251703311,8190735360,310
large-fft-b,large,fullft,b,24,3.64,298149583,8190735360,315
large-fft-b,large,fullft,b,25,3.408,279116581,8190735360,313
large-fft-b,large,fullft,b,26,3.194,261648787,8190735360,312
large-fft-b,large,fullft,b,27,3.229,264512904,8190735360,313
large-fft-b,large,fullft,b,28,3.043,249220005,8190735360,312
large-fft-b,large,fullft,b,29,2.872,235248596,8190735360,311
large-fft-b,large,fullft,b,30,2.815,230608383,8190735360,314
large-fft-b,large,fullft,b,31,2.843,232887849,8190735360,316
large-fft-b,large,fullft,b,32,2.678,219344125,8190735360,315
large-fft-b,large,fullft,b,33,2.528,207080964,8190735360,314
